"Step","base_config_0118 - train_10m_u_component_of_wind_lwrmse","base_config_0118 - train_10m_u_component_of_wind_lwrmse__MIN","base_config_0118 - train_10m_u_component_of_wind_lwrmse__MAX"
"34970","1.5452428912150191","1.5452428912150191","1.5452428912150191"
"34973","1.5463375913738322","1.5463375913738322","1.5463375913738322"
"34979","1.5754300448776741","1.5754300448776741","1.5754300448776741"
"34982","1.5164458546814725","1.5164458546814725","1.5164458546814725"
"34985","1.5527692829777302","1.5527692829777302","1.5527692829777302"
"34988","1.5030903370002298","1.5030903370002298","1.5030903370002298"
"34991","1.5603827785595665","1.5603827785595665","1.5603827785595665"
"34994","1.5325325312179088","1.5325325312179088","1.5325325312179088"
"34997","1.5164474518184754","1.5164474518184754","1.5164474518184754"
"35000","1.498187542486717","1.498187542486717","1.498187542486717"
"35003","1.5252548747459524","1.5252548747459524","1.5252548747459524"
"35006","1.554464962652298","1.554464962652298","1.554464962652298"
"35009","1.5473831668851799","1.5473831668851799","1.5473831668851799"
"35012","1.5601736333062273","1.5601736333062273","1.5601736333062273"
"35015","1.550569172681036","1.550569172681036","1.550569172681036"
"35018","1.5305925278304329","1.5305925278304329","1.5305925278304329"
"35021","1.5394008641425185","1.5394008641425185","1.5394008641425185"
"35024","1.5184772878632613","1.5184772878632613","1.5184772878632613"
"35027","1.510091790173332","1.510091790173332","1.510091790173332"
"35030","1.5399304894233556","1.5399304894233556","1.5399304894233556"
"35033","1.5215440178627784","1.5215440178627784","1.5215440178627784"
"35039","1.5586820735113214","1.5586820735113214","1.5586820735113214"
"35042","1.5801494169304904","1.5801494169304904","1.5801494169304904"
"35045","1.5317929203203062","1.5317929203203062","1.5317929203203062"
"35048","1.5929601472433261","1.5929601472433261","1.5929601472433261"
"35051","1.5445353028049522","1.5445353028049522","1.5445353028049522"
"35054","1.5380677259746178","1.5380677259746178","1.5380677259746178"
"35057","1.529368112298058","1.529368112298058","1.529368112298058"
"35060","1.5142278806077938","1.5142278806077938","1.5142278806077938"
"35063","1.546760175936521","1.546760175936521","1.546760175936521"
"35066","1.5832102640016623","1.5832102640016623","1.5832102640016623"
"35069","1.505608009919487","1.505608009919487","1.505608009919487"
"35072","1.516905952034854","1.516905952034854","1.516905952034854"
"35075","1.5217288867003915","1.5217288867003915","1.5217288867003915"
"35078","1.5347201229433731","1.5347201229433731","1.5347201229433731"
"35081","1.5460312164911836","1.5460312164911836","1.5460312164911836"
"35084","1.4990731576480298","1.4990731576480298","1.4990731576480298"
"35087","1.518170995390545","1.518170995390545","1.518170995390545"
"35090","1.5530582485231061","1.5530582485231061","1.5530582485231061"
"35096","1.5840104767658385","1.5840104767658385","1.5840104767658385"
"35099","1.5503831852680954","1.5503831852680954","1.5503831852680954"
"35102","1.544722762716083","1.544722762716083","1.544722762716083"
"35105","1.5918525379397228","1.5918525379397228","1.5918525379397228"
"35111","1.5490621562700506","1.5490621562700506","1.5490621562700506"
"35117","1.515969878791569","1.515969878791569","1.515969878791569"
"35120","1.5334262759117083","1.5334262759117083","1.5334262759117083"
"35123","1.5391484094385102","1.5391484094385102","1.5391484094385102"
"35126","1.5304925504846936","1.5304925504846936","1.5304925504846936"
"35129","1.6155603204751385","1.6155603204751385","1.6155603204751385"
