"Relative Time (Process)","base_config_0118 - system/gpu.0.memoryAllocatedBytes","base_config_0118 - system/gpu.0.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.0.memoryAllocatedBytes__MAX","base_config_0118 - system/gpu.1.memoryAllocatedBytes","base_config_0118 - system/gpu.1.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.1.memoryAllocatedBytes__MAX","base_config_0118 - system/gpu.2.memoryAllocatedBytes","base_config_0118 - system/gpu.2.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.2.memoryAllocatedBytes__MAX","base_config_0118 - system/gpu.3.memoryAllocatedBytes","base_config_0118 - system/gpu.3.memoryAllocatedBytes__MIN","base_config_0118 - system/gpu.3.memoryAllocatedBytes__MAX"
"360.418676","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"360.423386","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"360.463903","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"360.493119","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"360.517017","34134163456","34134163456","34134163456","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","34108997632","34108997632","34108997632"
"361.219376","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","34108997632","34108997632","34108997632"
"390.409429","34134163456","34134163456","34134163456","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","33460977664","33460977664","33460977664"
"390.421676","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"390.424369","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"390.465624","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"390.503034","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"390.518067","34134163456","34134163456","34134163456","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","34108997632","34108997632","34108997632"
"391.220196","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","34108997632","34108997632","34108997632"
"420.422711","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"420.425362","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"420.468947","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"420.505356","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"420.519101","34134163456","34134163456","34134163456","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","34108997632","34108997632","34108997632"
"421.221109","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","34108997632","34108997632","34108997632"
"450.425914","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"450.42634","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"450.469864","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"450.508671","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"450.519988","34134163456","34134163456","34134163456","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","34108997632","34108997632","34108997632"
"451.22211","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","34108997632","34108997632","34108997632"
"480.427333","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"480.428677","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"480.470895","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"480.511162","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"480.520822","34134163456","34134163456","34134163456","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","34108997632","34108997632","34108997632"
"481.223084","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","34108997632","34108997632","34108997632"
"510.428585","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"510.431383","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"510.472251","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"510.512967","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"510.521672","34134163456","34134163456","34134163456","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","34108997632","34108997632","34108997632"
"511.22566","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","34108997632","34108997632","34108997632"
"540.42988","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"540.432399","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"540.473405","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"540.513809","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"540.526932","34134163456","34134163456","34134163456","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","34108997632","34108997632","34108997632"
"541.226696","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","34108997632","34108997632","34108997632"
"570.430825","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"570.433671","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"570.47434","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"570.516525","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"570.527935","34134163456","34134163456","34134163456","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","34108997632","34108997632","34108997632"
"571.227718","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","34108997632","34108997632","34108997632"
"600.43178","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"600.434921","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"600.475364","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"600.517439","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","33460977664","33460977664","33460977664"
"600.530651","34134163456","34134163456","34134163456","33448394752","33448394752","33448394752","34146746368","34146746368","34146746368","34108997632","34108997632","34108997632"
"601.230102","33486143488","33486143488","33486143488","33448394752","33448394752","33448394752","33498726400","33498726400","33498726400","34108997632","34108997632","34108997632"
