"Relative Time (Process)","base_config_0118 - system/gpu.process.0.gpu","base_config_0118 - system/gpu.process.0.gpu__MIN","base_config_0118 - system/gpu.process.0.gpu__MAX"
"2732.203002","93.2","93.2","93.2"
"2760.693405","90.13","90.13","90.13"
"2762.205535","100","100","100"
"2762.386005","99.33","99.33","99.33"
"2790.698278","100","100","100"
"2792.207831","88.8","88.8","88.8"
"2792.387262","99.73","99.73","99.73"
"2820.985639","99.8","99.8","99.8"
"2822.211139","98.53","98.53","98.53"
"2822.388182","99.47","99.47","99.47"
"2851.02732","59.47","59.47","59.47"
"2852.212051","100","100","100"
"2852.389152","99.4","99.4","99.4"
"2881.030988","74","74","74"
"2882.391593","92.27","92.27","92.27"
"2911.03374","44.93","44.93","44.93"
"2912.214058","100","100","100"
"2912.396905","90.33","90.33","90.33"
"2941.045248","14.33","14.33","14.33"
"2942.214968","53.33","53.33","53.33"
"2942.428789","93.07","93.07","93.07"
"2971.05211","98.93","98.93","98.93"
"2972.216278","82.2","82.2","82.2"
"2972.435183","94.4","94.4","94.4"
"3001.053279","99.53","99.53","99.53"
"3002.218057","55.47","55.47","55.47"
"3002.442931","94.67","94.67","94.67"
"3031.054267","99.73","99.73","99.73"
"3032.233864","20.93","20.93","20.93"
"3032.451227","90.87","90.87","90.87"
"3061.055287","99.27","99.27","99.27"
"3062.236867","93.2","93.2","93.2"
"3062.455295","99.93","99.93","99.93"
"3091.0564","100","100","100"
"3092.239391","97.8","97.8","97.8"
"3092.458718","99.87","99.87","99.87"
"3121.05874","99.2","99.2","99.2"
"3122.248524","93.73","93.73","93.73"
"3122.460959","99.67","99.67","99.67"
"3151.061338","99.87","99.87","99.87"
"3152.252274","96.07","96.07","96.07"
"3152.462275","99.93","99.93","99.93"
"3182.257451","99.93","99.93","99.93"
"3182.463508","67.87","67.87","67.87"
"3211.063014","99.87","99.87","99.87"
"3212.262021","93.73","93.73","93.73"
"3212.464472","65.07","65.07","65.07"
"3241.064632","100","100","100"
"3242.264719","99.07","99.07","99.07"
"3242.465421","26.73","26.73","26.73"
"3271.06857","96.8","96.8","96.8"
"3272.283754","93.07","93.07","93.07"
"3272.466286","80.07","80.07","80.07"
"3301.147349","99.13","99.13","99.13"
"3302.289558","98.33","98.33","98.33"
"3302.473909","96.73","96.73","96.73"
"3331.152858","93.13","93.13","93.13"
"3332.292832","99.47","99.47","99.47"
"3332.479036","96.73","96.73","96.73"
"3361.155335","95.07","95.07","95.07"
"3362.295087","91.4","91.4","91.4"
"3362.481541","94.93","94.93","94.93"
"3391.159106","99.53","99.53","99.53"
"3392.298018","99.93","99.93","99.93"
"3421.202808","95.87","95.87","95.87"
"3422.300592","98.27","98.27","98.27"
"3422.502647","96.93","96.93","96.93"
"3451.205495","94.27","94.27","94.27"
"3452.304446","93.93","93.93","93.93"
"3452.50466","97.8","97.8","97.8"
"3481.21627","98.67","98.67","98.67"
"3482.310051","93.27","93.27","93.27"
"3482.507427","100","100","100"
"3511.226265","93.8","93.8","93.8"
"3512.509649","99.67","99.67","99.67"
"3541.228747","99.53","99.53","99.53"
"3542.524882","99.13","99.13","99.13"
"3571.229573","100","100","100"
"3572.527216","98.8","98.8","98.8"
"3601.230389","99.4","99.4","99.4"
"3602.528139","99.33","99.33","99.33"
"3631.231794","97.4","97.4","97.4"
"3632.529257","100","100","100"
"3661.246713","99.87","99.87","99.87"
"3662.530118","93","93","93"
"3691.252515","91.07","91.07","91.07"
"3692.532573","99.93","99.93","99.93"
"3721.268822","99.93","99.93","99.93"
"3722.533597","99.67","99.67","99.67"
"3751.271715","100","100","100"
"3752.534836","99.8","99.8","99.8"
"3781.275491","94.87","94.87","94.87"
"3782.535848","99.93","99.93","99.93"
"3811.277494","100","100","100"
"3812.536866","99.07","99.07","99.07"
"3841.27847","99.6","99.6","99.6"
"3842.539714","91.4","91.4","91.4"
"3871.279451","99.93","99.93","99.93"
"3872.543051","100","100","100"
"3901.280425","99.93","99.93","99.93"
"3902.544551","100","100","100"
"3932.545724","99.87","99.87","99.87"
"3961.282854","100","100","100"
"3962.546624","100","100","100"
"3991.284222","99.33","99.33","99.33"
"3992.549041","93.2","93.2","93.2"
"4021.285206","99.6","99.6","99.6"
"4022.552133","86.6","86.6","86.6"
"4051.287546","99.6","99.6","99.6"
"4081.292319","100","100","100"
"4082.557607","99.27","99.27","99.27"
"4111.296046","99.67","99.67","99.67"
"4112.72357","89.87","89.87","89.87"
"4141.298252","91.53","91.53","91.53"
"4142.734804","94.73","94.73","94.73"
"4171.300358","93.6","93.6","93.6"
"4172.74277","99.4","99.4","99.4"
"4201.306278","95.67","95.67","95.67"
"4202.74746","93.53","93.53","93.53"
"4231.317785","95.27","95.27","95.27"
"4232.751081","92.8","92.8","92.8"
"4261.368684","98.4","98.4","98.4"
"4262.753563","79.27","79.27","79.27"
"4291.388031","92.73","92.73","92.73"
"4292.756949","100","100","100"
"4321.747316","100","100","100"
"4322.757929","99.93","99.93","99.93"
"4352.009076","89.33","89.33","89.33"
"4352.761769","95.33","95.33","95.33"
"4382.010051","99.6","99.6","99.6"
"4382.765718","93","93","93"
"4412.021493","97.27","97.27","97.27"
"4412.771421","92.27","92.27","92.27"
"4442.068247","93.33","93.33","93.33"
"4442.777119","99.67","99.67","99.67"
"4472.089319","93.47","93.47","93.47"
"4472.780609","99.93","99.93","99.93"
"4502.096064","80.8","80.8","80.8"
"4502.781585","96.8","96.8","96.8"
"4532.100299","99.93","99.93","99.93"
"4532.786727","99.8","99.8","99.8"
"4562.101922","99.87","99.87","99.87"
"4562.787719","99.8","99.8","99.8"
"4592.103275","99.73","99.73","99.73"
"4592.789096","99.93","99.93","99.93"
"4622.110055","100","100","100"
"4622.790964","99.33","99.33","99.33"
"4652.11516","99.87","99.87","99.87"
"4652.794722","100","100","100"
"4682.795721","99","99","99"
"4712.123373","100","100","100"
"4712.797026","99.6","99.6","99.6"
"4742.14543","99.93","99.93","99.93"
"4772.193967","99.47","99.47","99.47"
"4772.800954","99.93","99.93","99.93"
"4802.198815","99.6","99.6","99.6"
"4802.802424","99.73","99.73","99.73"
"4832.203493","99","99","99"
"4832.804977","100","100","100"
"4862.2054","99.53","99.53","99.53"
"4862.808289","99.8","99.8","99.8"
"4892.206284","99.8","99.8","99.8"
"4892.813177","92.93","92.93","92.93"
"4922.207477","100","100","100"
