"Relative Time (Process)","base_config_0118 - system/gpu.0.memoryAllocated","base_config_0118 - system/gpu.0.memoryAllocated__MIN","base_config_0118 - system/gpu.0.memoryAllocated__MAX","base_config_0118 - system/gpu.1.memoryAllocated","base_config_0118 - system/gpu.1.memoryAllocated__MIN","base_config_0118 - system/gpu.1.memoryAllocated__MAX","base_config_0118 - system/gpu.2.memoryAllocated","base_config_0118 - system/gpu.2.memoryAllocated__MIN","base_config_0118 - system/gpu.2.memoryAllocated__MAX","base_config_0118 - system/gpu.3.memoryAllocated","base_config_0118 - system/gpu.3.memoryAllocated__MIN","base_config_0118 - system/gpu.3.memoryAllocated__MAX"
"1290.754386","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1320.510054","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1320.574134","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1321.519367","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1350.510918","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1350.575702","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1380.511849","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1380.580815","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1381.522458","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1410.512806","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1410.581741","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1411.525005","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1440.513814","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
"1440.58296","77.97","77.97","77.97","77.88","77.88","77.88","78","78","78","77.91","77.91","77.91"
