"Step","base_config_0118 - train_geopotential_level1000hPa_lwrmse","base_config_0118 - train_geopotential_level1000hPa_lwrmse__MIN","base_config_0118 - train_geopotential_level1000hPa_lwrmse__MAX"
"35213","136.56595233385025","136.56595233385025","136.56595233385025"
"35216","129.86135439361024","129.86135439361024","129.86135439361024"
"35219","131.08773346722433","131.08773346722433","131.08773346722433"
"35222","128.3536540091105","128.3536540091105","128.3536540091105"
"35225","127.14576233256605","127.14576233256605","127.14576233256605"
"35228","136.20545664822177","136.20545664822177","136.20545664822177"
"35231","138.45749024126695","138.45749024126695","138.45749024126695"
"35234","145.71908869952986","145.71908869952986","145.71908869952986"
"35243","140.69973955992907","140.69973955992907","140.69973955992907"
"35246","136.02316548474406","136.02316548474406","136.02316548474406"
"35252","126.1704912774884","126.1704912774884","126.1704912774884"
"35255","125.84162543223628","125.84162543223628","125.84162543223628"
"35258","126.8982064064164","126.8982064064164","126.8982064064164"
"35261","131.40399749827577","131.40399749827577","131.40399749827577"
